zp	lmass	Fu	e_Fu	Fr	e_Fr
  1.580	  8.66	 2.44721e-01	 1.19816e-02	 5.10560e-01	 1.08923e-02
  1.382	  8.20	 2.23952e-01	 6.53540e-03	 3.05558e-01	 1.65201e-02
  1.893	  9.88	 3.34296e-02	 2.54155e-02	 3.82089e-01	 2.01145e-01
  1.166	  8.82	 3.21072e-01	 2.59601e-02	 6.40731e-01	 4.72001e-03
  1.442	  8.72	 2.82444e-01	 1.59754e-02	 3.96336e-01	 4.97417e-02
  1.266	  8.50	 2.68265e-01	 5.39171e-02	 4.43957e-01	 8.07849e-02
  1.752	 10.01	 1.17670e+00	 1.19453e-01	 3.25016e+00	 3.36936e-01
  1.937	  9.62	 7.37775e-01	 1.32523e-02	 1.41315e+00	 2.54336e-01
  1.124	  8.39	 2.16879e-01	 1.10739e-02	 3.83018e-01	 1.12554e-02
  1.323	  8.40	 5.72022e-02	 1.30708e-02	 1.36634e-01	 2.17847e-02
  1.382	 10.00	 1.53182e-01	 2.57785e-02	 1.12768e+00	 6.29940e-02
  1.541	  9.00	 3.00638e-01	 1.57939e-02	 4.27829e-01	 1.56124e-02
  1.836	 10.50	 4.71704e+00	 2.17302e-01	 1.41462e+01	 1.99766e+00
  1.442	 10.01	 4.90936e-01	 3.54001e-02	 2.51101e+00	 4.08463e-02
  1.346	  8.72	 3.49886e-03	 9.44003e-03	 1.11640e-01	 6.13602e-02
  1.430	  9.71	 6.77217e-01	 4.57478e-02	 1.83645e+00	 3.92124e-02
  1.864	 10.88	 2.42761e-01	 3.83047e-02	 2.07712e+00	 2.82838e-01
  1.454	  8.70	 5.94820e-02	 2.90462e-02	 1.31637e-01	 5.06494e-02
  1.221	  9.83	 3.01846e-01	 3.41293e-02	 1.66239e+00	 7.64279e-02
  1.406	  8.81	 1.56549e-01	 1.32523e-02	 2.75018e-01	 1.81539e-02
  1.221	 10.23	 3.58610e-01	 5.95448e-02	 2.62659e+00	 2.35093e-01
  1.430	  9.99	 4.42189e-01	 3.43109e-02	 2.30027e+00	 4.97417e-02
  1.010	  8.45	 1.60282e-01	 2.34185e-02	 4.10413e-01	 3.15878e-02
  1.277	  9.02	 1.26078e-01	 9.07695e-03	 3.22566e-01	 5.26463e-03
  1.430	  8.90	 2.66085e-02	 2.86832e-02	 1.64534e-01	 6.97110e-02
  1.725	  8.42	 1.89006e-01	 1.27077e-02	 2.56714e-01	 7.84249e-02
  1.966	  9.93	 1.33315e+00	 5.62771e-02	 3.93032e+00	 1.79905e-01
  1.243	  8.71	 1.55983e-01	 6.17233e-03	 3.86195e-01	 1.63385e-02
  1.289	  9.31	 3.90345e-01	 5.62771e-02	 1.13555e+00	 9.27664e-02
  1.981	  9.76	 1.14727e+00	 1.49770e-01	 2.24439e+00	 2.41265e-01
  1.145	  8.30	 1.67002e-01	 1.07108e-02	 3.47804e-01	 3.99386e-03
  1.232	  9.00	 9.08748e-02	 1.43416e-02	 3.12621e-01	 4.48401e-02
  1.752	  9.36	 4.48899e-01	 7.98772e-02	 4.52388e-01	 4.93786e-02
  1.698	  9.56	 2.07256e+00	 1.14442e+00	 3.22125e+00	 6.35568e-01
  1.454	  9.97	 3.98674e-01	 3.64893e-02	 1.89657e+00	 1.79724e-02
  1.567	  8.95	 1.52393e-01	 8.89541e-03	 2.25376e-01	 9.53080e-02
  1.358	  8.60	 1.70418e-01	 1.63385e-02	 2.24751e-01	 4.19355e-02
  1.466	 10.69	 5.78899e-01	 4.93786e-02	 4.17162e+00	 1.79542e-01
  1.671	  9.59	 1.74711e+00	 3.20779e-01	 2.19640e+00	 1.68831e-01
  1.289	  8.12	 1.97428e-01	 1.19816e-02	 2.16229e-01	 2.97724e-02
  1.580	  9.29	 5.73758e-01	 4.17540e-02	 9.88429e-01	 8.31449e-02
  1.071	  9.45	 9.08545e-01	 1.16730e-01	 2.20549e+00	 2.75395e-01
  1.618	 10.05	 1.93517e+00	 1.13099e-01	 4.66370e+00	 1.80813e-01
  1.951	  9.96	 3.15885e-01	 4.84709e-02	 1.08554e+00	 1.76637e-01
  1.442	  8.96	 3.38009e-01	 1.97878e-02	 3.20083e-01	 7.44310e-03
  1.092	  9.14	 3.21570e-01	 1.74277e-02	 9.11072e-01	 1.65382e-01
  1.529	  9.31	 6.26026e-01	 2.65047e-02	 1.22993e+00	 5.62771e-03
  1.685	  8.85	 5.23635e-01	 1.22902e-01	 5.88415e-01	 1.08016e-01
  1.937	  8.96	 2.42665e-01	 3.32216e-02	 4.45297e-01	 4.22986e-02
  1.554	  8.66	 1.51761e-01	 1.14370e-02	 2.75214e-01	 6.69879e-02
  1.479	 10.08	 1.46337e+00	 7.80618e-02	 4.06223e+00	 6.40833e-02
  1.199	  8.62	 3.04053e-01	 2.17847e-02	 5.82381e-01	 1.57939e-02
  1.051	  9.18	 1.65963e+00	 1.72099e-01	 2.56923e+00	 5.00140e-01
  1.491	  8.71	 4.34187e-01	 1.37970e-02	 4.97715e-01	 8.89541e-03
  1.418	  9.92	 1.84329e+00	 4.77448e-02	 4.41772e+00	 8.84095e-02
  1.951	 10.48	 4.67496e-01	 4.10278e-02	 1.95894e+00	 1.80268e-01
  1.406	  8.65	 2.04121e-01	 3.26770e-03	 1.47799e-01	 5.95448e-02
  1.418	  9.83	 4.17075e-01	 2.61416e-02	 1.53966e+00	 2.19662e-02
  1.836	  8.18	 4.44774e-01	 7.26156e-03	 3.48897e-01	 3.79417e-02
  1.030	  8.41	 1.96268e-01	 3.57632e-02	 3.54406e-01	 4.59294e-02
  1.221	  9.18	 6.59491e-02	 2.57785e-02	 1.79350e-01	 2.32370e-02
  1.232	  8.22	 1.21858e-01	 1.92431e-02	 2.32283e-01	 1.74277e-02
  1.879	 10.79	 1.01185e+00	 0.00000e+00	 6.29033e+00	 0.00000e+00
  1.981	 10.33	 9.10861e-02	 4.52032e-02	 5.71525e-01	 3.33306e-01
  1.618	  8.83	 5.27690e-01	 1.79724e-02	 1.01650e+00	 4.35694e-03
