Seq	zspec	lmass	Fu	e_Fu	Fr	e_Fr
 5484	          	  8.73	 1.89195e-01	 1.27077e-03	 2.03275e-01	 1.86985e-02
 5485	          	  8.28	 2.44654e-01	 1.08923e-03	 4.13793e-01	 2.90462e-03
 5486	          	  8.45	 8.22375e-02	 1.63385e-02	 1.81331e-01	 1.48862e-02
 5487	          	  9.21	 2.45056e-01	 2.63232e-02	 6.36668e-01	 3.83047e-02
 5488	          	  8.69	 1.22275e-01	 9.07695e-03	 2.49021e-01	 1.56124e-02
 5489	          	 10.79	 5.90866e-01	 5.62771e-02	 3.48377e+00	 2.55970e-01
 5490	          	 10.67	 1.24754e+00	 0.00000e+00	 7.27093e+00	 0.00000e+00
 5491	          	  8.80	 3.48978e-01	 1.59754e-02	 5.25163e-01	 3.59447e-02
 5492	          	  9.49	 1.23742e-01	 2.54155e-03	 2.87058e-01	 4.35694e-03
 5493	          	 10.91	 6.50970e+00	 0.00000e+00	 4.68814e+01	 0.00000e+00
 5494	          	  9.88	 1.16170e+00	 1.14007e-01	 2.31372e+00	 1.46684e-01
 5495	          	  8.50	 1.96045e-02	 7.44310e-03	 5.28653e-02	 2.63232e-02
 5496	          	  8.50	 8.49530e-02	 1.07108e-02	 3.70797e-01	 3.08616e-02
 5497	          	  9.65	 5.04442e-01	 2.37816e-02	 9.83183e-01	 2.92278e-02
 5498	          	  8.60	 2.04741e-01	 1.25262e-02	 3.20175e-01	 2.12401e-02
 5499	          	  8.80	 9.14390e-01	 1.09650e-01	 2.24168e+00	 2.18391e-01
 5500	          	  7.82	 2.48079e-01	 1.30708e-02	 8.71032e-01	 2.79570e-02
 5501	          	  9.57	 2.98874e-01	 5.30094e-02	 6.46649e-01	 8.98618e-02
 5502	          	  8.48	 9.59986e-02	 1.25262e-02	 2.45839e-01	 1.76093e-02
 5503	          	 10.91	 1.29076e+00	 4.95602e-02	 1.24096e+01	 4.67100e-01
 5504	          	  9.56	 5.29713e-01	 2.06954e-02	 6.07963e-01	 3.79417e-02
 5505	          	  9.66	 6.36291e-01	 2.74124e-02	 3.74225e+00	 1.18908e-01
 5506	          	  8.76	 3.58992e-01	 3.12247e-02	 8.70897e-01	 1.34339e-02
 5507	          	  7.60	 2.25467e-02	 1.14370e-02	 2.09932e-01	 4.24801e-02
 5508	          	  8.70	 1.41465e-01	 2.85016e-02	 2.37207e-01	 4.90155e-03
 5509	          	  9.05	 2.99137e-01	 9.44003e-03	 5.19855e-01	 3.19509e-02
 5510	          	  8.42	 5.63820e-02	 8.89541e-03	 3.87139e-02	 1.85170e-02
 5511	          	 10.57	 4.28556e-01	 3.73970e-02	 2.08108e+00	 3.24955e-02
 5512	          	 10.21	 2.64832e-01	 1.41600e-02	 6.17919e-01	 9.53080e-02
 5513	          	  9.22	 4.23251e-01	 4.15724e-02	 4.77684e-01	 1.77001e-01
 5514	          	  8.89	 5.94867e-02	 1.99693e-03	 9.58050e-01	 1.85170e-02
 5515	          	  5.95	 1.36526e-01	 5.44617e-04	 1.43693e+00	 1.01662e-02
 5516	          	  8.65	 1.24754e-01	 1.32523e-02	 3.01143e-01	 2.37816e-02
 5517	          	  9.95	 2.42817e+00	 7.33418e-02	 8.55771e+00	 1.55579e-01
